movie_title,year_released,critic_rating,audience_rating,genres
Class Rank,2018,86,67,Comedy
Clay Pigeons,1998,62,67,"Art House & International, Comedy, Drama, Mystery & Suspense"
Clean and Sober,1988,62,62,Drama
"Clean, Shaven",1995,90,83,Drama
Cleaner,2008,17,40,"Drama, Mystery & Suspense"
Clear and Present Danger,1994,80,74,"Action & Adventure, Drama, Mystery & Suspense"
The Clearing,2004,43,32,"Action & Adventure, Drama, Mystery & Suspense"
Clemency,2019,92,65,Drama
Cleopatra's Second Husband,1998,52,12,"Drama, Mystery & Suspense"
Clerks,1994,89,89,"Comedy, Cult Movies, Drama"
Clerks II,2006,64,84,"Comedy, Drama"
Click,2006,34,66,"Comedy, Kids & Family"
The Client,1994,78,69,"Action & Adventure, Drama, Mystery & Suspense"
Clifford,1994,13,67,"Comedy, Kids & Family"
Clifford's Really Big Movie,2004,53,35,"Animation, Kids & Family"
Clip,2013,50,47,Drama
Cloak and Dagger,1984,64,56,"Action & Adventure, Kids & Family"
The Clock,1945,100,82,"Classics, Drama, Musical & Performing Arts, Romance"
Clockers,1995,71,74,"Drama, Mystery & Suspense"
Clockstoppers,2002,29,30,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy"
Clockwise,1986,80,65,"Action & Adventure, Comedy"
A Clockwork Orange,1971,88,93,"Classics, Drama, Mystery & Suspense, Science Fiction & Fantasy"
Star Wars: The Clone Wars,2008,18,39,"Action & Adventure, Animation, Science Fiction & Fantasy"
Close Encounters of the Third Kind,1977,94,85,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy"
Close Range,2015,86,27,Action & Adventure
Close-up (Nema-ye Nazdik),1999,88,89,"Art House & International, Drama"
Closed Circuit,2013,43,31,Mystery & Suspense
Ostre Sledované Vlaky (Closely Watched Trains),1966,100,87,"Art House & International, Comedy, Drama"
Closer,2004,68,81,Drama
Closer To The Moon,2015,46,55,Drama
The Closet (Le Placard),2001,85,78,"Art House & International, Comedy, Drama"
Closet Monster,2016,81,72,Drama
Cloud Atlas,2012,67,66,"Drama, Science Fiction & Fantasy"
Cloudburst,2012,100,77,"Action & Adventure, Comedy, Drama"
Clouds of Sils Maria,2015,90,65,Drama
Cloudy with a Chance of Meatballs 2,2013,70,66,"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy"
Clover,2020,28,60,"Action & Adventure, Comedy, Mystery & Suspense"
Cloverfield,2008,77,68,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy"
Clown,2016,44,37,Horror
Clowntergeist,2017,17,29,Horror
ClownTown,2016,9,30,Horror
Club Dread,2004,29,44,"Comedy, Horror"
Club Life,2015,20,17,Drama
Club Paradise,1986,11,35,Comedy
Clue,1985,65,86,"Comedy, Drama, Mystery & Suspense"
Clueless,1995,82,76,"Comedy, Special Interest, Romance"
Coach Carter,2005,64,85,Drama
Coachella,2006,88,75,"Documentary, Musical & Performing Arts"
Coal Miner's Daughter,1980,86,86,"Drama, Musical & Performing Arts"
Cobb,1994,65,59,Drama
Cobra,1986,14,42,"Action & Adventure, Mystery & Suspense"
Cobra Verde,1987,82,76,"Action & Adventure, Art House & International, Drama"
The Cockettes,2002,91,83,"Documentary, Drama, Musical & Performing Arts, Special Interest"
Cockneys vs Zombies,2013,76,45,"Art House & International, Comedy, Horror"
Cocktail,1988,7,58,"Drama, Romance"
Cocktail,2012,60,44,"Comedy, Drama, Romance"
Coco,2017,97,94,"Action & Adventure, Animation, Comedy, Kids & Family"
Coco Before Chanel,2009,64,57,"Art House & International, Drama"
Coco Chanel & Igor Stravinsky,2010,53,43,"Art House & International, Drama"
Cocoon: The Return,1988,33,35,"Comedy, Drama, Science Fiction & Fantasy"
Coda,2020,50,57,Drama
Thick as Thieves (The Code),2009,20,33,"Action & Adventure, Drama"
Code 46,2004,51,58,"Drama, Science Fiction & Fantasy, Romance"
Code 8,2019,79,63,"Comedy, Drama"
Code Black,2014,88,80,"Documentary, Special Interest"
Code Name: The Cleaner,2007,4,38,"Action & Adventure, Comedy"
Code of Silence,1985,63,51,"Action & Adventure, Drama"
Code Unknown (Code inconnu: Récit incomplet de divers voyages),2000,75,79,"Art House & International, Drama"
Coffee and Cigarettes,2004,64,75,"Art House & International, Comedy, Drama, Musical & Performing Arts"
Coffin Rock,2009,70,30,"Art House & International, Mystery & Suspense"
Coffy,1973,79,76,"Action & Adventure, Classics"
C.O.G.,2013,69,35,"Comedy, Drama"
Coherence,2014,88,81,"Drama, Science Fiction & Fantasy"
Cold Brook,2019,80,83,"Comedy, Drama"
Cold Comes The Night,2014,44,29,"Drama, Mystery & Suspense"
Cold Creek Manor,2003,12,23,"Drama, Mystery & Suspense"
Cold Fish,2011,74,75,"Art House & International, Drama, Mystery & Suspense"
Cold in July,2014,83,67,"Drama, Mystery & Suspense"
Cold Moon,2017,70,34,Mystery & Suspense
Cold Mountain,2003,71,77,"Action & Adventure, Drama, Romance"
Cold November,2018,100,63,Drama
Cold Pursuit,2019,69,49,"Action & Adventure, Drama, Mystery & Suspense"
Cold Skin,2018,48,56,"Mystery & Suspense, Science Fiction & Fantasy"
Cold Souls,2009,75,54,"Comedy, Drama"
Cold Turkey,1971,60,65,Comedy
Cold Turkey,2013,20,37,Drama
Cold War 2,2016,56,57,"Action & Adventure, Mystery & Suspense"
Cold Weather,2011,78,52,"Comedy, Drama, Mystery & Suspense"
Coldwater,2014,64,60,Drama
Colette,2018,87,69,Drama
Collaborator,2012,73,61,Comedy
Collateral,2004,86,84,"Action & Adventure, Drama, Mystery & Suspense"
Collateral Beauty,2016,14,64,Drama
College Road Trip,2008,12,50,Comedy
Collide,2017,23,34,"Action & Adventure, Mystery & Suspense"
Colliding Dreams,2016,94,62,Documentary
Colma: The Musical,2006,90,69,"Comedy, Drama, Musical & Performing Arts"
Colombiana,2011,28,67,"Action & Adventure, Drama, Mystery & Suspense"
Colonia,2016,26,61,"Art House & International, Mystery & Suspense"
The Color of Lies (Au coeur du mensonge),1999,100,60,"Art House & International, Drama, Mystery & Suspense"
The Color of Friendship,2000,100,76,"Drama, Kids & Family, Television"
The Color of Money,1986,89,73,"Drama, Sports & Fitness"
Color of Night,1994,22,30,"Drama, Mystery & Suspense"
The Color of Paradise,2000,87,96,"Art House & International, Drama"
Color Out of Space,2020,86,82,"Horror, Science Fiction & Fantasy"
The Color Purple,1985,81,94,Drama
Colossal,2017,81,59,"Comedy, Romance"
Color Me Kubrick,2007,51,42,"Comedy, Drama"
The Comancheros,1961,100,75,"Action & Adventure, Classics, Western"
Combat Shock (Fuerza en combate),1986,40,65,"Action & Adventure, Drama, Horror"
Come And Find Me,2016,62,33,Drama
Come As You Are,2020,94,79,Comedy
"Come Back, Little Sheba",1952,86,80,"Classics, Drama"
Come Back To Me,2014,17,36,"Horror, Mystery & Suspense"
Come Out And Play,2013,48,23,Horror
Come See the Paradise,1990,64,73,"Drama, Romance"
Come to Daddy,2020,87,75,"Comedy, Drama, Mystery & Suspense"
Come Undone (Cosa voglio di più),2010,86,50,"Art House & International, Comedy, Drama"
Come Undone,2000,77,67,"Art House & International, Drama"
Come What May,2016,43,56,Drama
The Comebacks,2007,9,33,Comedy
Comedian,2002,77,69,"Comedy, Documentary"
The Comedians,1967,27,48,"Classics, Comedy, Drama"
The Comedians of Comedy,2005,44,83,"Comedy, Documentary, Special Interest, Television"
Comes a Horseman,1978,70,54,"Action & Adventure, Drama, Western, Romance"
Comet,2014,42,52,"Comedy, Drama, Romance"
Comic Book Confidential,1999,75,62,"Documentary, Musical & Performing Arts, Special Interest"
Comic Book - The Movie,2004,40,39,Comedy
Comic-Con: Episode IV - A Fan's Hope,2012,82,79,"Documentary, Special Interest"
Coming Through The Rye,2016,70,65,Drama
Coming to America,1988,65,85,"Comedy, Romance"
Coming Up Roses,2012,17,71,Drama
Commandments,1997,24,36,"Comedy, Drama, Faith & Spirituality"
Commitment,2013,40,58,"Action & Adventure, Drama, Mystery & Suspense"
Commune,2006,95,46,"Documentary, Special Interest"
Compadres,2016,38,51,"Action & Adventure, Comedy"
Company Man,2001,14,44,"Comedy, Drama"
The Company of Wolves,1984,80,73,"Drama, Horror, Science Fiction & Fantasy"
Complete Unknown,2016,52,24,Drama
Compliance,2012,89,60,"Drama, Mystery & Suspense, Special Interest"
Compulsion,1959,100,86,"Classics, Drama, Mystery & Suspense"
Computer Chess,2013,88,53,Comedy
Comradeship (Kameradschaft),1931,89,79,"Art House & International, Drama"
Con Artist,2010,100,85,"Documentary, Musical & Performing Arts, Special Interest"
Con Air,1997,56,75,Action & Adventure
Conan O'Brien Can't Stop,2011,82,68,"Comedy, Documentary, Special Interest"
Conan the Barbarian,1982,64,74,"Action & Adventure, Science Fiction & Fantasy"
Conan the Barbarian,2011,25,30,"Action & Adventure, Science Fiction & Fantasy"
Conan the Destroyer,1984,25,38,Action & Adventure
Concerning Violence,2014,90,71,"Documentary, Special Interest"
Concussion,2013,75,58,Drama
Concussion,2015,59,74,Drama
The Condemned,2007,15,58,"Action & Adventure, Mystery & Suspense"
Condorman,1981,23,65,"Action & Adventure, Art House & International, Comedy, Mystery & Suspense, Science Fiction & Fantasy"
Coneheads,1993,35,37,"Comedy, Science Fiction & Fantasy"
Confessions of a Burning Man,2003,30,60,"Documentary, Special Interest"
Confessions of a Dangerous Mind,2003,79,75,"Comedy, Drama, Mystery & Suspense"
Confessions of a Shopaholic,2009,25,49,"Comedy, Drama"
Confessions of a Superhero,2007,100,73,"Documentary, Special Interest"
Confessions of a Teenage Drama Queen,2004,14,35,Comedy
Confetti,2006,57,48,"Comedy, Drama"
Confidence,2003,69,70,Drama
Confirmation,2016,83,74,"Drama, Television"
Confucius,2010,45,38,"Art House & International, Drama"
Congo,1995,22,29,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy"
"Congo: White King, Red Rubber, Black Death",2003,100,80,"Documentary, Musical & Performing Arts"
"Connected: An Autoblogography About Love, Death & Technology",2011,36,46,"Documentary, Special Interest"
Conquest Of The Planet Of The Apes,1972,50,46,"Action & Adventure, Classics, Science Fiction & Fantasy"
Conspiracy Theory,1997,57,64,"Action & Adventure, Drama, Mystery & Suspense"
The Constant Gardener,2005,83,82,"Drama, Mystery & Suspense"
Constantine,2005,46,72,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy"
Constantine's Sword,2007,87,77,"Documentary, Special Interest, Faith & Spirituality"
Contagion,2011,85,63,"Action & Adventure, Mystery & Suspense"
Contamination,1980,40,29,"Action & Adventure, Horror, Science Fiction & Fantasy"
Conte d'hiver (A Tale of Winter),1992,95,80,"Drama, Romance"
Contempt,1964,93,85,"Art House & International, Comedy, Drama"
Continental Divide,1981,70,53,"Comedy, Drama, Romance"
Contraband,2012,52,57,"Action & Adventure, Mystery & Suspense"
Contract Killer,2002,80,53,"Action & Adventure, Art House & International, Comedy"
Contract to Kill,2016,0,18,"Action & Adventure, Drama"
Contracted,2013,53,29,"Drama, Horror, Mystery & Suspense"
Contracted: Phase II,2015,38,14,"Drama, Horror, Mystery & Suspense"
Control,2007,88,89,"Drama, Musical & Performing Arts"
Conventioneers,2005,75,59,"Comedy, Drama"
The Conversation,1974,96,90,"Drama, Mystery & Suspense"
Conviction,2010,67,70,Drama
Coogan's Bluff,1968,94,50,"Action & Adventure, Classics, Drama"
Cook Off!,2017,25,64,Comedy
"The Cook, the Thief, His Wife & Her Lover",1989,85,88,"Art House & International, Comedy, Drama, Romance"
Cookie,1989,15,39,Comedy
Cookie's Fortune,1999,86,65,"Comedy, Drama"
The Cookout,2004,5,37,Comedy
Cool as Ice,1991,6,44,"Action & Adventure, Comedy, Drama, Musical & Performing Arts, Romance"
A Cool Dry Place,1998,54,59,Drama
Cool Hand Luke,1967,100,95,"Classics, Drama"
Cool It,2010,52,74,Documentary
The Cooler,2003,77,69,"Drama, Romance"
Cooley High,1975,85,89,"Classics, Comedy, Drama"
Cooties,2015,45,37,"Comedy, Horror"
Cop,1988,83,48,"Action & Adventure, Drama, Mystery & Suspense"
Cop & 1/2,1993,14,34,"Comedy, Kids & Family"
Cop Car,2015,80,53,Mystery & Suspense
Cop Land,1997,75,67,"Action & Adventure, Drama, Mystery & Suspense"
Cop Out,2010,19,40,Comedy
Copperhead,2013,21,45,Drama
Cops And Robbersons,1994,14,22,Comedy
Copwatch,2017,60,87,Documentary
"Copying Beethoven, (Klang der Stille)",2006,28,56,"Drama, Musical & Performing Arts, Romance"
Coral Reef Adventure,2004,91,73,"Documentary, Special Interest"
Coraline,2009,90,73,"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy"
The Core,2003,40,34,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy"
Coriolanus,2011,92,58,"Drama, Mystery & Suspense"
Corky Romano,2001,7,39,Comedy
Corman's World: Exploits Of A Hollywood Rebel,2011,92,84,"Documentary, Television"
Corpo Celeste,2012,83,45,"Art House & International, Comedy, Documentary, Drama, Special Interest, Faith & Spirituality"
Corporate Animals,2019,25,15,"Comedy, Horror"
The Corporation,2004,90,90,"Documentary, Drama, Special Interest"
Tim Burton's Corpse Bride,2005,84,77,"Action & Adventure, Animation, Comedy, Kids & Family, Science Fiction & Fantasy"
"Corrina, Corrina",1994,39,69,"Comedy, Drama, Romance"
The Corruptor,1998,48,43,"Action & Adventure, Mystery & Suspense"
Corvette Summer,1978,50,43,"Action & Adventure, Comedy, Drama"
Cosmopolis,2012,65,31,"Drama, Science Fiction & Fantasy"
Cost of a Soul,2011,27,48,Drama
The Cotton Club,1984,76,55,"Drama, Musical & Performing Arts"
The Couch Trip,1988,33,45,Comedy
"Count Yorga, Vampire",1970,44,42,"Cult Movies, Horror"
Countdown,2019,26,72,"Horror, Mystery & Suspense"
Countdown to Zero,2010,79,72,"Documentary, Special Interest"
Counterfeiters,2018,71,91,Drama
The Country Bears,2002,31,33,"Comedy, Kids & Family"
Country Strong,2011,22,53,"Drama, Musical & Performing Arts"
"The Aryan Couple, (The Couple)",2005,12,57,Drama
Couples Retreat,2009,10,39,Comedy
Courage Under Fire,1996,85,66,Drama
Courageous,2011,36,86,"Drama, Faith & Spirituality"
Court,2015,98,79,Drama
The Court Jester,1956,96,94,"Action & Adventure, Classics, Comedy, Kids & Family"
Cousin Jules,2013,100,83,Documentary
Cousins,1989,50,67,"Comedy, Drama, Romance"
The Covenant,2006,4,62,"Horror, Mystery & Suspense"
Cover,2007,0,78,"Drama, Mystery & Suspense"
The Cowboys,1972,79,88,"Classics, Drama, Western"
The Wicker Tree,2012,27,10,"Drama, Horror, Mystery & Suspense"
Cowboys & Aliens,2011,44,43,"Action & Adventure, Science Fiction & Fantasy, Western"
Coyote Lake,2019,83,83,Mystery & Suspense
Coyote Ugly,2000,23,71,"Comedy, Drama"
CQ,2002,66,69,"Comedy, Drama"
Crack in the World,1965,86,41,"Drama, Science Fiction & Fantasy"
Cracks,2011,43,48,"Drama, Mystery & Suspense"
Cradle 2 the Grave,2003,25,52,"Action & Adventure, Drama"
Cradle Will Rock,1999,64,71,Drama
The Craft,1996,56,65,"Drama, Horror"
Craigslist Joe,2012,33,64,"Action & Adventure, Documentary, Special Interest"
Crank,2006,61,71,"Action & Adventure, Comedy, Mystery & Suspense"
Crank 2: High Voltage,2009,64,49,"Action & Adventure, Comedy"
Crash Pad,2017,54,53,Comedy
Crave,2013,31,26,"Drama, Mystery & Suspense"
Crawford,2008,100,72,"Documentary, Special Interest"
Crawl,2011,63,20,"Comedy, Mystery & Suspense"
Crawl,2019,83,75,Horror
The Crazies,1973,67,43,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy"
Crazy/Beautiful,2001,63,69,"Drama, Romance"
Crazy About Tiffany's,2016,27,36,Documentary
Crazy as Hell,2002,53,54,"Drama, Horror, Mystery & Suspense"
Crazy Eyes,2012,25,21,Comedy
Crazy Heart,2009,90,76,"Drama, Musical & Performing Arts, Romance"
Crazy Horse,2012,85,52,"Documentary, Special Interest"
Crazy in Alabama,1999,30,64,"Comedy, Drama"
Crazy Love,2007,79,73,Documentary
Crazy on the Outside,2010,8,28,Comedy
Crazy People,1990,37,62,Comedy
Crazy Rich Asians,2018,91,76,Comedy
"Crazy, Stupid, Love.",2011,79,78,"Comedy, Drama, Romance"
Creative Control,2016,60,38,"Drama, Science Fiction & Fantasy"
Creator,1985,38,76,"Comedy, Drama, Science Fiction & Fantasy"
Creature,1985,40,12,"Horror, Science Fiction & Fantasy"
Creature,2011,10,17,"Horror, Mystery & Suspense"
Creed,2015,95,89,Drama
Creed II,2018,83,80,"Action & Adventure, Drama, Sports & Fitness"
Creep,2015,89,65,"Comedy, Horror, Romance"
Creep 2,2017,100,72,"Horror, Mystery & Suspense"
Creeping Flesh,1973,83,54,"Classics, Horror, Mystery & Suspense"
Creepshow,1982,73,68,Horror
Creepshow 2,1987,30,40,Horror
Creepy (Kuripi: Itsuwari no rinjin),2016,90,57,Drama
Cries and Whispers,1972,90,91,"Drama, Romance"
Crime After Crime,2011,91,82,"Documentary, Drama, Special Interest"
Crime & Punishment in Suburbia,2000,21,58,"Art House & International, Drama"
The Crime of Padre Amaro,2002,61,74,"Art House & International, Drama"
Crime Spree,2003,33,56,"Comedy, Drama"
Crimes of Passion,1984,36,55,"Drama, Mystery & Suspense"
Crimes of the Heart,1986,81,65,"Comedy, Drama"
Criminal,2016,30,47,"Action & Adventure, Drama, Mystery & Suspense"
Criminal Activities,2015,48,42,Drama
Criminal Law,1989,33,26,"Drama, Mystery & Suspense"
Crimson Peak,2015,72,55,Horror
The Crimson Pirate,1952,100,85,"Action & Adventure, Art House & International, Classics, Comedy"
Crimson Tide,1995,88,83,"Action & Adventure, Drama"
Criss Cross,1949,92,80,"Classics, Drama, Mystery & Suspense"
Critical Care,1997,59,30,Comedy
Critical Thinking,2020,93,85,"Comedy, Drama"
Critters,1986,52,45,"Horror, Science Fiction & Fantasy"
Critters 2: The Main Course,1988,25,36,"Comedy, Horror, Science Fiction & Fantasy"
Critters 3,1991,0,23,"Horror, Science Fiction & Fantasy"
"Crna macka, beli macor (Black Cat, White Cat)",1999,83,95,"Art House & International, Comedy, Drama"
Crocodile Dundee,1986,88,59,"Action & Adventure, Comedy"
Crocodile Dundee II,1988,10,38,"Action & Adventure, Comedy"
Crocodile Dundee in Los Angeles,2001,11,25,"Action & Adventure, Comedy"
Cromwell,1970,43,69,"Action & Adventure, Classics, Drama"
Crónicas,2005,71,77,"Drama, Mystery & Suspense"
Cronos,1994,91,69,"Art House & International, Drama, Horror, Mystery & Suspense"
Crooked Arrows,2012,41,62,"Drama, Sports & Fitness"
Crooked House,2017,57,56,Mystery & Suspense
Crooklyn,1994,77,90,Comedy
Cropsey,2010,91,61,Documentary
Cross Creek,1983,67,75,Drama
Crossfire,1947,82,74,"Action & Adventure, Classics, Drama, Mystery & Suspense"
Crossfire Trail,2001,40,77,"Action & Adventure, Television, Western"
Crossing Delancey,1988,88,78,"Comedy, Drama, Romance"
The Crossing Guard,1995,75,53,Drama
Crossing Over,2009,16,49,Drama
Crossing the Line,2007,90,85,"Art House & International, Documentary, Special Interest"
Crossover,2006,2,59,"Action & Adventure, Drama"
Crossworlds,1996,20,41,"Action & Adventure, Drama, Science Fiction & Fantasy"
"Crouching Tiger, Hidden Dragon",2001,97,86,"Action & Adventure, Art House & International, Drama, Romance"
The Crow,1994,83,90,"Action & Adventure, Science Fiction & Fantasy"
The Crow - Salvation,2000,22,43,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy"
The Crow: City of Angels,1996,12,40,"Action & Adventure, Science Fiction & Fantasy"
Crown Heights,2017,77,77,Drama
Crown Vic,2019,58,73,"Action & Adventure, Drama, Mystery & Suspense"
Cruel Intentions,1999,54,81,Drama
Cruel Intentions 2,2000,17,21,"Comedy, Drama"
The Cruise,1998,86,88,"Documentary, Drama, Special Interest"
Cruise,2018,38,71,Drama
Cruising,1980,50,48,"Drama, Mystery & Suspense"
Crumb,1995,95,89,"Comedy, Cult Movies, Documentary, Drama, Musical & Performing Arts, Special Interest"
Crusoe,1988,67,43,"Action & Adventure, Drama"
Cry-Baby,1990,73,77,"Comedy, Musical & Performing Arts"
Cry Freedom,1987,76,88,"Art House & International, Drama"
Evil Angels (A Cry in the Dark),1988,93,74,Drama
Cry of the Owl,2009,11,20,"Drama, Mystery & Suspense"
Cry_Wolf,2005,24,51,"Horror, Mystery & Suspense"
The Crying Game,1992,94,78,"Drama, Mystery & Suspense, Romance"
Crypto,2019,17,59,Drama
Crystal Fairy,2013,83,50,Comedy
CSA: The Confederate States of America,2005,80,56,"Comedy, Documentary"
CSNY Déjà Vu,2008,68,71,"Documentary, Drama, Musical & Performing Arts, Special Interest"
Cthulhu,2008,62,28,Horror
Cuba And The Cameraman,2017,100,93,Documentary
Cuban Fury,2014,54,43,"Art House & International, Comedy, Romance"
Cubby,2019,73,56,"Comedy, Drama"
Cube,1998,63,76,"Horror, Science Fiction & Fantasy"
Cube 2 - Hypercube,2003,45,35,Science Fiction & Fantasy
Cuck,2019,44,65,Mystery & Suspense
Cujo,1983,63,45,"Horror, Mystery & Suspense"
Cunningham,2019,89,88,Documentary
Cupcakes,2015,78,62,Comedy
Curdled,1996,17,58,"Comedy, Drama, Mystery & Suspense"
The Curious Case of Benjamin Button,2008,72,80,"Drama, Science Fiction & Fantasy, Romance"
Curly Sue,1991,13,50,"Comedy, Kids & Family"
The Curse of Frankenstein,1957,78,77,"Classics, Drama, Horror, Science Fiction & Fantasy"
The Curse of the Cat People,1945,87,66,"Drama, Kids & Family, Science Fiction & Fantasy"
Curse of the Demon,1958,100,85,"Horror, Mystery & Suspense, Science Fiction & Fantasy"
Curse of the Golden Flower,2006,65,65,"Action & Adventure, Art House & International, Drama, Romance"
The Curse of the Jade Scorpion,2001,46,53,"Art House & International, Comedy, Drama"
Curse of the Pink Panther,1983,29,24,"Comedy, Mystery & Suspense"
Curtains,1983,57,39,"Drama, Horror, Mystery & Suspense"
Curvature,2018,47,54,"Drama, Mystery & Suspense, Science Fiction & Fantasy"
Dead Man's Curve,1998,11,53,"Comedy, Drama, Horror, Mystery & Suspense"
Custer of the West,1967,25,32,"Action & Adventure, Western"
Cut,2000,11,25,"Art House & International, Horror"
Cut Bank,2015,37,29,Mystery & Suspense
Cut Sleeve Boys,2007,42,49,"Comedy, Drama, Gay & Lesbian"
Cutie And The Boxer,2013,95,75,"Documentary, Special Interest"
Cutter's Way,1981,91,70,Drama
Cutthroat Island,1995,38,40,"Action & Adventure, Kids & Family"
Cyber-Seniors,2014,80,58,"Comedy, Documentary, Drama, Special Interest"
Cypher,2002,58,65,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy"
Cyrano de Bergerac,1950,78,81,"Classics, Drama, Romance"
Cyrus,2010,80,53,Comedy
D2: The Mighty Ducks,1994,20,59,"Comedy, Kids & Family"
D3: The Mighty Ducks,1996,20,45,"Comedy, Kids & Family"
D-Tox (Eye See You),2002,18,28,"Action & Adventure, Drama, Mystery & Suspense"
The D Train,2015,53,23,Comedy
Da Sweet Blood of Jesus,2015,47,19,Drama
The Da Vinci Code,2006,26,57,"Action & Adventure, Drama, Mystery & Suspense"
Dabangg,2010,60,60,Action & Adventure
Dad,1989,60,60,"Comedy, Drama"
Daddy Day Camp,2007,1,38,Comedy
Daddy Day Care,2003,27,48,"Comedy, Kids & Family"
Daddy's Home 2,2017,21,50,Comedy
Daddy's Home,2015,31,49,Comedy
Daddy's Little Girls,2007,26,81,"Comedy, Drama"
Dad's Army,2016,31,36,"Comedy, Drama"
Dahmer,2002,69,40,"Drama, Horror, Mystery & Suspense"
Dai-Nipponjin (Big Man Japan),2009,77,54,"Art House & International, Comedy"
Daisy Kenyon,1947,100,58,"Classics, Drama, Romance"
Daisy Miller,1974,75,29,"Classics, Drama, Romance"
Daleks - Invasion Earth 2150 A.D.,1966,67,53,"Action & Adventure, Science Fiction & Fantasy, Television"
Dalida,2017,33,88,"Drama, Romance"
Dallas Buyers Club,2013,93,91,Drama
Damascus Cover,2018,14,59,"Drama, Mystery & Suspense"
Dames,1934,60,65,"Musical & Performing Arts, Romance"
Damien---Omen II,1978,44,49,"Horror, Mystery & Suspense"
Damn the Defiant!,1962,100,62,"Action & Adventure, Art House & International, Classics, Drama"
Damnation Alley,1977,44,34,"Action & Adventure, Drama, Science Fiction & Fantasy"
The Damned United,2009,92,85,"Drama, Sports & Fitness"
Damsel,2018,67,55,Comedy
Damsels in Distress,2012,75,39,Comedy
Dan in Real Life,2007,65,69,"Comedy, Drama, Romance"
Dance Academy: The Comeback,2018,100,81,Drama
Dance Flick,2009,18,30,"Action & Adventure, Comedy"
"Dance, Girl, Dance",1940,83,65,"Classics, Comedy, Drama"
Dance Me Outside,1994,69,91,Drama
Dance with Me,1998,51,67,"Comedy, Drama, Musical & Performing Arts, Romance"
Dancer,2016,88,86,Documentary
Dancer in the Dark,2000,69,91,"Drama, Musical & Performing Arts"
"Dancer, Texas Pop. 81",1998,80,72,"Comedy, Drama"
The Dancer Upstairs,2002,64,76,"Drama, Musical & Performing Arts, Mystery & Suspense"
Dances With Wolves,1990,83,87,"Action & Adventure, Drama, Western"
Dancing Across Borders,2010,57,70,"Documentary, Musical & Performing Arts, Special Interest"
Dancing at Lughnasa,1998,64,58,"Art House & International, Drama"
Dancing at the Blue Iguana,2000,23,42,"Art House & International, Drama"
Dancing In Jaffa,2014,88,73,"Documentary, Musical & Performing Arts"
Dancing Lady,1933,80,69,"Classics, Comedy, Drama, Musical & Performing Arts, Romance"
Danger Close,2017,20,81,Documentary
Danger Close,2019,71,71,"Action & Adventure, Drama"
Danger: Diabolik,1968,64,71,"Action & Adventure, Classics, Mystery & Suspense, Special Interest"
Dangerous Beauty,1998,68,86,Drama
Dangerous Ishhq,2012,20,31,"Horror, Mystery & Suspense"
Dangerous Liaisons,2012,68,54,"Art House & International, Drama"
The Dangerous Lives of Altar Boys,2002,77,79,Drama
Dangerous Minds,1995,29,64,Drama
A Dangerous Woman,1993,50,31,"Drama, Mystery & Suspense, Romance"
Daniel,1983,43,56,"Art House & International, Drama, Mystery & Suspense"
Daniel & Ana,2010,56,89,"Drama, Mystery & Suspense"
Daniel Isn't Real,2019,82,56,"Horror, Mystery & Suspense"
Danika,2006,29,32,"Drama, Horror, Mystery & Suspense"
Danny Collins,2015,77,73,"Comedy, Drama, Musical & Performing Arts"
Danny Deckchair,2003,55,77,"Art House & International, Comedy, Drama"
Danny Says,2016,74,51,Documentary
Unleashed,2005,66,75,"Action & Adventure, Drama, Mystery & Suspense"
Dante's Peak,1997,26,38,Action & Adventure
Darby O'Gill and the Little People,1959,100,77,"Kids & Family, Science Fiction & Fantasy"
Dare,2009,57,34,"Drama, Romance"
Daredevil,2003,44,35,"Action & Adventure, Science Fiction & Fantasy"
The Darjeeling Limited,2007,69,78,"Action & Adventure, Comedy"
Dark Shadows,2012,36,46,"Drama, Horror, Mystery & Suspense"
Dark Blue,2003,59,52,"Drama, Mystery & Suspense"
Dark Blue World,2001,62,84,Drama
Dark City,1998,76,85,"Horror, Mystery & Suspense, Science Fiction & Fantasy"
Dark Crimes,2018,0,30,Drama
The Dark Crystal,1982,79,81,"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy"
Dark Days,2000,94,89,"Documentary, Special Interest"
Harlequin (Dark Forces) (The Minister's Magician),1980,40,48,"Drama, Mystery & Suspense, Science Fiction & Fantasy"
Entre tinieblas (Dark Habits) (Dark Hideout),1983,69,69,"Art House & International, Comedy"
The Dark Half,1993,58,37,"Horror, Mystery & Suspense"
Dark Horse,2012,70,41,"Comedy, Drama"
Dark Matter,2008,40,40,Drama
Dark Night of the Scarecrow,1981,50,65,"Drama, Horror, Mystery & Suspense, Television"
